user_id	item_id	neg_items
43	1249	[6786, 7684, 2568, 2956, 1172, 8240, 6706, 7349, 5050, 7227, 8127, 3144, 8656, 721, 7391, 1249, 3681, 760, 8314, 2429]
44	5296	[3328, 6402, 5382, 5524, 6808, 3242, 7854, 5166, 5296, 4416, 2121, 6101, 5212, 5472, 6373, 7400, 5993, 3819, 2031, 5105]
45	8075	[8075, 5776, 2323, 6675, 8615, 8500, 4279, 8512, 2496, 6083, 7367, 1863, 8650, 8651, 4945, 6492, 7523, 8046, 3962, 4479]
46	7033	[260, 5767, 6416, 7185, 8471, 7579, 6189, 4788, 7478, 317, 1473, 2753, 7363, 7165, 7762, 5843, 878, 7033, 5245, 8574]
47	8491	[8465, 5398, 7325, 2081, 5418, 8491, 4016, 8498, 8115, 6969, 2747, 7867, 6727, 4936, 4552, 7501, 471, 4066, 6895, 497]
48	3679	[6936, 3621, 6328, 313, 8512, 7623, 1097, 2122, 7497, 7113, 7250, 6610, 8540, 3679, 7267, 2281, 7277, 8561, 3577, 5242]
49	8480	[5509, 2705, 4113, 6302, 8480, 1835, 1723, 8637, 3776, 8130, 6478, 2640, 4306, 7762, 1619, 7008, 5090, 7148, 5999, 4210]
50	8159	[7041, 7690, 3087, 6546, 3736, 7834, 7579, 7324, 6948, 6825, 8121, 65, 7875, 7236, 3791, 8656, 7505, 8159, 3681, 5863]
51	6446	[4742, 8331, 8336, 6803, 2840, 6809, 922, 1826, 6829, 6446, 686, 6840, 5830, 7511, 8408, 3037, 1246, 8416, 4090, 8447]
52	2671	[6044, 7580, 7581, 8483, 7974, 6822, 4523, 7733, 7478, 6204, 8383, 8387, 203, 7774, 8167, 5611, 7406, 2671, 8176, 1656]
53	7616	[1942, 3738, 6439, 6184, 4523, 5039, 3254, 442, 7740, 7616, 4811, 6478, 4823, 5467, 1376, 2536, 1389, 8307, 8184, 3966]
54	8681	[8322, 1668, 3346, 4890, 2977, 2721, 7585, 5171, 6073, 8257, 7120, 8025, 5081, 4445, 2911, 994, 4200, 8681, 8683, 8569]
55	8615	[3970, 1556, 5398, 4376, 7206, 8615, 6699, 4917, 6862, 6103, 6489, 2777, 5598, 3808, 3425, 998, 5479, 7789, 8562, 7160]
56	1385	[7813, 8071, 942, 2879, 4161, 7498, 4301, 596, 4570, 7515, 8412, 5471, 8543, 483, 3176, 1385, 2028, 2803, 6774, 5247]
57	6708	[4994, 8073, 6708, 7605, 700, 7619, 1989, 6727, 1868, 4689, 5460, 1750, 865, 1252, 3045, 4085, 5494, 8318, 4347, 7166]
58	942	[7302, 1799, 6024, 2447, 5524, 6560, 3242, 942, 7356, 4416, 4301, 6741, 4694, 1880, 7385, 5867, 1904, 8306, 6774, 4735]
59	8140	[6676, 6053, 6950, 5162, 5041, 7867, 8253, 6084, 6343, 3783, 7754, 8140, 974, 2131, 7515, 1885, 1776, 7282, 2163, 3186]
60	5335	[5890, 1680, 2836, 3226, 8606, 1576, 2487, 2747, 2112, 843, 6866, 3412, 2135, 727, 5335, 7907, 8547, 7919, 6388, 7162]
61	2777	[2181, 4236, 7053, 8078, 4625, 8469, 1048, 156, 2470, 3112, 425, 7102, 4552, 4813, 2777, 8669, 1637, 1894, 8445, 254]
62	8046	[6785, 6535, 4876, 2964, 1819, 8606, 5408, 5667, 7228, 1214, 6208, 6722, 6860, 8655, 7509, 2143, 4194, 7398, 3050, 8046]
63	7100	[2176, 6785, 640, 5526, 5144, 3352, 7851, 4654, 6583, 7100, 6589, 6985, 6604, 8013, 4818, 4825, 1641, 7412, 4855, 7931]
64	8521	[3976, 2059, 4749, 5519, 7824, 3098, 8109, 7598, 3247, 5301, 8521, 8016, 4054, 7768, 8025, 1242, 8412, 7395, 7024, 7932]
65	6046	[6916, 8581, 2442, 268, 6046, 6053, 3237, 7726, 5809, 6582, 1463, 8124, 8253, 7615, 6989, 976, 8543, 4961, 4090, 7421]
66	6342	[6912, 7940, 2702, 7696, 529, 7965, 4387, 5539, 7974, 7982, 8495, 6342, 5325, 5592, 7907, 8685, 5874, 3061, 3575, 6904]
67	8606	[2177, 7940, 8463, 4754, 7315, 7704, 8606, 5667, 1707, 8237, 8626, 8628, 6453, 6860, 7248, 8272, 5209, 8539, 6500, 7157]
68	3917	[7060, 3352, 3870, 7073, 8488, 8110, 5935, 6192, 6710, 2487, 7162, 6986, 3917, 6612, 4832, 1635, 2408, 1387, 3438, 7418]
69	4228	[4228, 7432, 7949, 150, 7446, 795, 4520, 8622, 5811, 7478, 6839, 6591, 5830, 4813, 7501, 1625, 8159, 7664, 7803, 7806]
70	3172	[8321, 8071, 5129, 5778, 3730, 3870, 8508, 69, 6343, 2517, 8278, 2775, 1376, 97, 8418, 3172, 358, 4587, 8558, 7413]
71	7132	[7044, 8465, 5910, 7707, 5026, 460, 1488, 5841, 5971, 7515, 7132, 6755, 8294, 3710, 6257, 4343, 8058, 6523, 6908, 4478]
72	8501	[1665, 7047, 2185, 7694, 6291, 1404, 7581, 6436, 4523, 6572, 8628, 8501, 6590, 6209, 4164, 8389, 2011, 8293, 4842, 5628]
73	6322	[7424, 3460, 8203, 5516, 142, 6800, 6177, 6697, 6322, 5179, 5435, 2503, 6604, 8654, 5839, 8403, 1125, 1772, 7662, 2928]
74	4498	[6145, 2690, 4498, 7578, 4767, 8611, 7717, 8119, 2748, 3390, 4801, 8655, 3536, 860, 6621, 5984, 8555, 8431, 7029, 5630]
75	5788	[1921, 6550, 4631, 3352, 8086, 5788, 7581, 6052, 8488, 6447, 6707, 182, 2372, 7880, 866, 3939, 364, 8685, 5999, 5751]
76	2930	[8075, 3086, 8209, 1305, 8475, 8606, 5030, 2353, 7363, 2371, 5836, 7771, 2915, 7781, 8686, 2930, 498, 8311, 2169, 5883]
77	6092	[8196, 8071, 3870, 1056, 7072, 6057, 4523, 5166, 5045, 8506, 6092, 3279, 5847, 7264, 614, 8682, 4842, 8684, 110, 6258]
78	8153	[6800, 1552, 6673, 7190, 7713, 7858, 5303, 571, 4415, 69, 8648, 4296, 3921, 3922, 2899, 7766, 8153, 8541, 5997, 8558]
79	7439	[2176, 6785, 7425, 4742, 7439, 147, 6173, 2990, 1852, 5698, 460, 3661, 6093, 974, 8159, 1634, 8165, 4334, 1787, 7037]
80	7745	[8585, 4498, 3349, 7579, 5023, 6945, 6691, 6323, 4660, 2869, 3507, 7745, 2889, 4058, 2526, 7905, 7265, 3303, 5484, 628]
81	1948	[4871, 8203, 1948, 7202, 7080, 4013, 3377, 7731, 6327, 1215, 4546, 6863, 3536, 8403, 7387, 1246, 8680, 5876, 4855, 4986]
82	7040	[7040, 6785, 6402, 3341, 405, 6681, 6943, 6950, 7601, 8247, 6589, 2760, 8395, 6103, 5336, 3291, 7270, 373, 3705, 8186]
83	7040	[7040, 4866, 6916, 8456, 8469, 5528, 6179, 6438, 8253, 7615, 2243, 5708, 2509, 2131, 3030, 5475, 1637, 1126, 8174, 4090]
84	942	[2574, 1811, 7060, 8340, 7190, 942, 6705, 7352, 8506, 2879, 6721, 7757, 1623, 7258, 8293, 7791, 7664, 8560, 4605, 4735]
85	8676	[5769, 3466, 6926, 4120, 7581, 4387, 6323, 6327, 6339, 3397, 1993, 1229, 7891, 4193, 8676, 8039, 7147, 620, 3442, 116]
86	8656	[8322, 7173, 2062, 4629, 3735, 7327, 4143, 4914, 5812, 7350, 4663, 8510, 708, 7369, 5964, 8656, 7634, 5082, 621, 5109]
87	8471	[6528, 8322, 278, 8471, 1827, 6053, 1831, 2479, 443, 3266, 7875, 5699, 2122, 8654, 7896, 3034, 1128, 4972, 2673, 8574]
88	8480	[1288, 8585, 5770, 4884, 4383, 8480, 8609, 5795, 7081, 5172, 7228, 3911, 7498, 2379, 7773, 5491, 7671, 5369, 6650, 6397]
89	6727	[7812, 150, 4260, 8362, 7215, 5307, 7487, 6850, 6727, 717, 8142, 5214, 8546, 3683, 8164, 7908, 5227, 8560, 3450, 8318]
90	7619	[6531, 8458, 6936, 7962, 2848, 5924, 5285, 5937, 6396, 3128, 7228, 7619, 7623, 2120, 8649, 2893, 8681, 1261, 4476, 7932]
91	8500	[2944, 5127, 7563, 8607, 4907, 2605, 7858, 5554, 8500, 3638, 4803, 69, 332, 6223, 3538, 6741, 854, 6874, 6109, 3957]
92	6322	[8212, 1695, 3371, 8109, 942, 6322, 6324, 7606, 4796, 4542, 4427, 8396, 4065, 229, 4197, 6118, 8422, 1385, 4849, 5618]
93	8667	[4736, 3973, 8071, 7689, 270, 5134, 2335, 288, 5921, 5155, 4523, 4919, 8506, 3134, 4419, 8012, 8667, 1759, 5738, 3709]
94	8474	[1282, 2, 522, 8336, 5909, 8086, 6810, 8474, 4528, 5303, 4409, 7482, 1474, 3787, 5710, 8657, 8546, 3439, 5873, 8573]
95	4977	[6150, 2571, 1047, 5783, 6063, 5817, 5448, 8392, 7242, 5455, 1103, 7124, 3548, 4830, 4063, 8159, 8547, 875, 4977, 7037]
96	884	[3225, 3101, 6186, 1579, 6320, 7478, 1723, 7363, 7366, 7247, 7894, 3163, 7391, 1249, 8684, 1134, 8306, 884, 7161, 4219]
97	8357	[8204, 8471, 4131, 8357, 8628, 8501, 8512, 2881, 7363, 1994, 2776, 7273, 3563, 7148, 236, 3312, 8433, 8435, 5366, 7033]
98	8363	[6164, 5268, 3738, 1958, 5418, 8363, 3507, 7862, 3788, 7502, 2255, 7120, 1235, 5076, 6502, 6635, 3186, 5877, 8572, 1663]
99	8574	[8067, 4614, 5129, 3474, 276, 4129, 4532, 825, 8403, 4181, 2007, 5335, 4066, 7907, 4839, 7144, 7928, 8188, 5117, 8574]
100	8658	[6914, 5254, 3593, 5265, 5401, 7068, 7848, 6057, 2223, 1488, 4176, 8658, 4690, 5203, 8681, 6643, 5109, 7415, 5242, 3195]
101	2701	[7937, 3331, 2701, 5667, 8360, 1345, 4419, 453, 2250, 6989, 8401, 3669, 3291, 8670, 4579, 2159, 2805, 8439, 1404, 7421]
102	3779	[3588, 7302, 8326, 6032, 1809, 5138, 7441, 2335, 2212, 2084, 6837, 7230, 3779, 7875, 2758, 3278, 8016, 8148, 4463, 3060]
103	5851	[7556, 2566, 8072, 3215, 8591, 8601, 3879, 8506, 6722, 7112, 8655, 6234, 5851, 356, 1765, 4708, 617, 5482, 8303, 6650]
104	6924	[4994, 6531, 6924, 1949, 6559, 682, 7601, 2365, 3520, 708, 6092, 8013, 855, 8439, 5217, 746, 621, 7665, 8311, 6266]
105	8658	[7178, 5391, 3735, 8617, 4416, 5445, 3017, 8394, 8658, 1746, 478, 1630, 2789, 8425, 5097, 8556, 4844, 6901, 7797, 763]
106	7754	[5769, 1033, 7585, 8491, 7599, 7221, 194, 6215, 8648, 7754, 7391, 8672, 6498, 6756, 8676, 6509, 6512, 5874, 7923, 6519]
107	6972	[7949, 6033, 8606, 1185, 5409, 6439, 6317, 5426, 6972, 7875, 7747, 4684, 83, 3542, 600, 8539, 6883, 7140, 3687, 8058]
108	3848	[384, 3848, 2701, 6552, 2968, 5277, 7965, 7581, 7081, 7982, 6204, 5316, 2890, 5199, 2904, 5851, 3936, 3428, 490, 1021]
109	5133	[8331, 5133, 2840, 7833, 4122, 2718, 3363, 5923, 825, 2686, 8270, 5839, 6863, 3797, 8534, 4193, 6755, 5603, 3959, 8574]
110	6673	[8451, 5891, 7173, 6673, 8212, 1174, 2199, 1695, 1440, 7462, 7849, 6706, 8626, 5181, 2118, 7883, 3695, 5618, 7285, 6010]
111	8247	[8448, 7556, 8588, 4382, 1311, 6057, 3497, 5293, 7601, 3764, 8247, 5306, 7869, 6718, 3399, 7883, 8270, 7664, 1910, 2303]
112	7363	[7810, 8218, 4901, 6950, 4133, 938, 2228, 8633, 7866, 7363, 4291, 5959, 6860, 6478, 210, 7509, 1118, 2143, 2683, 7420]
113	4978	[2176, 8583, 2575, 8336, 4908, 3377, 7610, 3776, 4546, 6093, 8654, 7503, 3927, 2010, 4058, 3303, 8557, 8047, 4978, 3959]
114	7863	[1290, 5902, 6416, 6432, 2085, 2861, 4787, 7863, 4804, 5966, 5968, 86, 3163, 3036, 6883, 8679, 7400, 8306, 8435, 4603]
115	7248	[7813, 5653, 7064, 8483, 6950, 427, 7982, 2484, 6198, 5174, 6461, 4159, 1217, 8001, 7363, 3277, 7248, 4948, 90, 1756]
116	6721	[7296, 5889, 7302, 7190, 2199, 8625, 6328, 7352, 2879, 6721, 2244, 8007, 2122, 6741, 8278, 7258, 97, 4587, 7404, 2302]
117	7908	[2821, 8585, 8214, 8088, 8473, 8223, 289, 1060, 2603, 8363, 6196, 2876, 2120, 4300, 7502, 7905, 1123, 7908, 5749, 1399]
118	7302	[2051, 7302, 7817, 1047, 25, 8474, 8602, 7834, 1187, 3117, 5940, 1596, 7101, 964, 709, 1495, 4065, 366, 3057, 4095]
119	6129	[6785, 2696, 8585, 431, 6576, 7346, 8501, 4286, 6722, 8662, 3158, 1114, 1627, 2789, 8422, 2663, 7400, 2159, 6129, 7027]
120	3791	[6536, 5771, 8332, 3476, 5654, 4248, 4252, 2222, 8507, 4684, 3791, 8143, 7891, 600, 8669, 7773, 4450, 4323, 8680, 4842]
121	8394	[6798, 5905, 8086, 7063, 3757, 705, 7875, 8394, 7502, 4051, 6356, 5971, 7643, 5980, 6111, 5599, 1634, 4844, 5360, 1018]
122	7891	[5263, 5906, 4637, 7587, 4395, 5809, 5945, 3523, 2120, 7891, 6868, 4440, 8290, 360, 8296, 2152, 1652, 1525, 380, 7932]
123	6536	[7808, 4870, 4871, 6536, 6794, 5146, 3105, 7079, 3500, 1327, 567, 8255, 7108, 718, 8663, 2011, 7272, 6889, 1784, 8186]
124	7081	[4235, 7440, 5776, 7707, 929, 2852, 7081, 8107, 5700, 3911, 2509, 7762, 6997, 8294, 3691, 5999, 2800, 503, 2938, 4478]
125	7502	[7945, 3085, 270, 2447, 7440, 1550, 4506, 7707, 5919, 5800, 7862, 5438, 6336, 7502, 1368, 5084, 4318, 3807, 3295, 8554]
126	6224	[5760, 8203, 5777, 1810, 7584, 7588, 814, 7097, 2503, 6224, 8144, 6743, 4313, 7387, 1123, 5603, 8166, 1650, 1529, 6399]
127	8679	[6544, 7707, 7202, 38, 4276, 7733, 7617, 6209, 583, 1865, 5839, 463, 2395, 7387, 352, 8679, 1512, 5876, 4855, 8315]
128	10	[3971, 2952, 5001, 10, 3351, 1815, 6829, 7859, 1852, 2753, 7106, 5075, 5207, 5980, 3940, 3173, 1384, 1643, 8306, 375]
129	7808	[7808, 6016, 390, 6536, 7819, 7563, 6926, 529, 7700, 7346, 2994, 436, 7226, 4288, 7490, 1093, 477, 7517, 8414, 8444]
130	6478	[909, 2582, 535, 8348, 4508, 6948, 2733, 7601, 5425, 2867, 2228, 8247, 440, 1977, 7867, 6727, 6478, 225, 4840, 3705]
131	7014	[2, 8071, 4107, 4119, 8611, 8230, 5685, 6721, 3653, 6855, 8648, 7375, 7766, 8280, 8412, 7391, 7013, 7014, 6641, 7804]
132	7185	[8203, 7185, 7442, 3474, 1050, 2354, 8627, 5941, 8520, 7628, 4179, 7766, 214, 2654, 7907, 3433, 8686, 2036, 8188, 8318]
133	8585	[8585, 8331, 4624, 6045, 3103, 7217, 7862, 6843, 6717, 3776, 4933, 7622, 2128, 6736, 4820, 2009, 5603, 8679, 3819, 2558]
134	3102	[5771, 4367, 4372, 4123, 6301, 3102, 6563, 5542, 4652, 1840, 5689, 1219, 6602, 3541, 7639, 4193, 8680, 6255, 4081, 7805]
135	8683	[8320, 3215, 2216, 7469, 3893, 1355, 8270, 3279, 6485, 2520, 6234, 5851, 617, 8683, 8174, 4081, 6130, 755, 504, 4347]
136	7862	[7297, 8453, 7061, 2327, 4768, 6049, 6568, 7081, 7988, 7862, 5436, 4805, 4552, 7754, 4315, 994, 8680, 490, 3694, 7802]
137	25	[5505, 4871, 8328, 25, 3873, 2599, 5808, 7287, 4154, 4804, 8134, 4552, 2894, 6103, 7932, 2030, 3447, 3705, 8444, 7551]
138	4506	[4610, 7813, 8213, 4506, 4890, 7461, 1193, 2603, 6964, 5300, 2120, 8649, 202, 6988, 6098, 7891, 7522, 4971, 1644, 4093]
139	6756	[7699, 276, 8087, 7321, 2329, 8481, 8357, 1455, 6837, 2371, 8648, 5836, 5847, 7518, 3939, 6756, 236, 7148, 5623, 2680]
140	6339	[6668, 3348, 7702, 4641, 4390, 7598, 8238, 6339, 3779, 3524, 6344, 6089, 4683, 3281, 7378, 7768, 5857, 613, 999, 8175]
141	8607	[4615, 8071, 5263, 8591, 404, 6808, 8607, 1315, 7590, 4391, 7350, 5560, 6083, 2248, 5837, 2128, 5976, 3176, 5874, 5109]
142	4689	[6529, 3330, 3466, 7075, 5924, 3370, 4010, 3504, 5942, 7362, 8651, 4557, 4689, 6738, 4694, 1110, 7129, 6877, 8034, 8561]
143	8682	[3971, 7817, 8331, 6671, 7055, 3365, 2858, 5943, 5303, 8011, 8654, 3663, 4441, 8153, 6110, 7007, 8682, 111, 6899, 1525]
144	8306	[8088, 8352, 8483, 8233, 429, 5699, 7495, 8142, 6096, 6107, 7772, 4839, 3050, 5355, 8306, 6258, 246, 4985, 7804, 6527]
145	6531	[6531, 5637, 3725, 6802, 8347, 3228, 44, 3884, 57, 1596, 4164, 2892, 7757, 1114, 5222, 2797, 3954, 8184, 8058, 7293]
146	8480	[4742, 7564, 5133, 8214, 1306, 5276, 8480, 3112, 3245, 1086, 2753, 4035, 8394, 5323, 3146, 7901, 504, 4083, 6899, 4984]
147	7905	[1034, 6802, 7704, 8347, 6825, 1705, 2352, 1331, 5940, 8246, 1209, 8389, 4816, 7893, 7905, 2017, 7780, 8049, 3314, 6523]
148	6550	[7302, 6550, 8224, 7214, 6447, 8245, 6070, 8512, 3905, 6851, 2122, 6117, 5479, 7015, 6250, 8556, 3184, 5619, 888, 5242]
149	6922	[6922, 1045, 150, 4887, 5919, 4520, 3371, 7477, 5816, 8252, 7875, 4804, 6339, 5204, 8148, 4951, 7403, 3180, 3317, 7037]
150	8353	[5512, 1677, 2190, 7318, 3992, 6808, 8353, 2339, 4523, 6575, 2628, 8391, 1995, 1618, 7771, 5606, 3695, 373, 8184, 1660]
151	843	[4741, 7302, 1928, 2059, 5272, 8360, 5811, 5817, 7234, 843, 5968, 2392, 3163, 3036, 7015, 6635, 7286, 3962, 891, 892]
152	8606	[8064, 2827, 4492, 8606, 4523, 3118, 7471, 4017, 1468, 6972, 4032, 7490, 7623, 5972, 600, 5467, 7007, 4966, 8554, 6519]
153	8585	[3330, 5123, 6916, 8585, 7707, 8348, 7206, 6318, 7862, 8505, 4282, 3646, 6724, 8390, 3526, 3536, 8543, 8680, 3820, 7800]
154	4179	[6789, 8327, 7823, 5664, 2977, 2731, 1327, 6089, 4179, 7763, 8662, 4316, 7517, 5856, 2145, 2658, 4202, 3567, 752, 4725]
155	7565	[7565, 6161, 7575, 7063, 30, 7969, 7846, 818, 6722, 2371, 7492, 7752, 6354, 1237, 8279, 7909, 8682, 8046, 1137, 7548]
156	8683	[1537, 5763, 5902, 1825, 4385, 930, 1320, 6186, 6700, 2883, 2117, 5576, 7502, 2789, 7400, 8683, 238, 6774, 8568, 6910]
157	6076	[1542, 8335, 1045, 8471, 8491, 8237, 8372, 6076, 3262, 7502, 2772, 8311, 856, 3812, 4971, 3311, 7157, 6005, 6647, 6780]
158	3227	[3085, 8082, 3478, 5913, 3995, 3227, 6950, 4519, 8499, 1337, 697, 320, 8542, 4585, 2924, 7280, 8560, 1138, 4720, 6783]
159	2852	[4488, 5770, 3085, 273, 6802, 7965, 8353, 2852, 6057, 7468, 6188, 1076, 1333, 2883, 2628, 971, 7385, 861, 3560, 3821]
160	8201	[8324, 5255, 8201, 3351, 8223, 3365, 4010, 942, 8115, 4796, 1356, 4051, 6099, 5980, 8414, 2018, 2283, 5360, 3825, 7796]
161	8413	[8086, 1432, 3103, 1186, 1843, 4409, 5697, 7365, 3782, 6981, 2893, 5710, 8535, 5210, 8413, 1630, 8681, 6769, 4982, 8574]
162	7848	[8480, 6182, 7848, 937, 3121, 4662, 1097, 7370, 80, 8658, 2137, 4193, 7147, 3570, 8306, 7156, 117, 2931, 2040, 3961]
163	8422	[4739, 6286, 4367, 7184, 6303, 8484, 697, 5945, 3389, 4546, 6083, 4420, 1094, 8654, 4951, 1246, 1887, 3681, 8291, 8422]
164	5302	[5377, 525, 4750, 5903, 4753, 4891, 5923, 298, 5421, 7601, 7602, 5302, 7739, 5579, 6604, 3808, 1000, 3434, 2794, 3314]
